GAMUDA ENGINEERING - CONSOLIDATED FINANCIAL SUMMARY,,,,,,
Report Period: Q3 2024 (Jul - Sep 2024),,,,,,
Prepared by: Finance Dept | Approved: CFO,,,,,,
,,,,,,
PROJECT,CONTRACT VALUE (RM),BUDGET (RM),ACTUAL COST TO DATE (RM),% BUDGET USED,FORECAST FINAL COST (RM),VARIANCE (RM)
Alpha - MRT3 Tunnel Package,"340,000,000","340,000,000","193,800,000",57%,"358,000,000","-18,000,000"
Beta - KVE Interchange Pkg B,185000000,"185,000,000","72,350,000",39.1%,"196,500,000","-11,500,000"
Gamma - SMART Tunnel Rehab,"45,000,000","45,000,000","41,200,000",91.6%,"46,800,000","-1,800,000"
Delta - LRT Depot Extension,"92,500,000",92500000,,N/A,TBC,
TOTAL,"662,500,000","662,500,000","307,350,000",46.4%,,
,,,,,,
COST BREAKDOWN BY CATEGORY (ALL PROJECTS COMBINED),,,,,,
Category,Budgeted (RM),Actual Q1,Actual Q2,Actual Q3,YTD Actual,% of Budget
Labour - Direct,"85,000,000","8,200,000","9,100,000","10,500,000","27,800,000",32.7%
Labour - Subcontract,"142,000,000","14,500,000","17,200,000","19,800,000","51,500,000",36.3%
Materials - Concrete/Steel,"198,000,000","22,100,000","28,400,000","31,200,000","81,700,000",41.3%
Materials - Specialist,"67,000,000","4,800,000","6,100,000","7,300,000","18,200,000",27.2%
Plant & Equipment,"89,500,000","9,800,000","11,200,000","10,100,000","31,100,000",34.8%
Preliminaries & Overheads,"54,000,000","5,500,000","5,800,000","6,000,000","17,300,000",32.0%
Contingency (held),"27,000,000",,,,0,0%
TOTAL,"662,500,000","64,900,000","77,800,000","84,900,000","227,600,000",34.4%
,,,,,,
VARIATION ORDERS SUMMARY,,,,,,
VO Ref,Project,Description,Value (RM),Status,Date Submitted,Date Approved
VO-A-031,Alpha,Additional grouting works Jalan Ampang,"2,800,000",Approved,15-Aug-24,02-Sep-24
VO-A-032,Alpha,TBM-2 repair mobilisation cost,"1,200,000",Pending,10-Oct-24,
VO-A-033,Alpha,Utility diversion compensation event,TBC,Under Review,28-Oct-24,
VO-B-017,Beta,Revised pavement design fee,"380,000",Approved,20-Jul-24,15-Aug-24
VO-B-018,Beta,Bridge girder redesign due to flood damage,"1,950,000",Pending,05-Nov-24,
VO-B-019,Beta,Land access delay compensation,"3,200,000",Disputed,01-Oct-24,
VO-B-020,Beta,Increased axle load pavement spec,,Pending Design,,
VO-G-008,Gamma,Emergency waterproofing patch,"650,000",Approved,12-Sep-24,28-Sep-24
,,,,,,
CASHFLOW SUMMARY (RM Million),,,,,,
Month,Planned Expenditure,Actual Expenditure,Planned Revenue,Actual Revenue,Cumulative Cash Position,
Jan-24,18.2,16.8,15.0,0,-16.8,
Feb-24,19.5,20.1,18.0,16.8,-20.1,
Mar-24,22.0,21.4,22.0,38.9,-1.6,
Apr-24,24.5,25.8,24.0,21.4,-6.0,
May-24,26.0,24.3,25.0,47.2,17.0,
Jun-24,27.5,28.1,27.0,24.3,13.2,
Jul-24,28.0,27.6,28.0,51.3,37.0,
Aug-24,29.0,28.9,29.0,27.6,35.7,
Sep-24,30.0,28.4,30.0,,TBC,
Oct-24 (forecast),31.0,,31.0,,,
